event,time_ms,image_bytes,capture_us,event_energy_mWh,peak_current_mA,peak_power_mW,avg_power_mW,min_voltage_V,ai_decision,ai_best_label,person_score,no_person_score,ai_confidence,ai_inference_ms
1,18964,18432,2995,2.492145,220.700,1081.004,887.921,4.882,UNCERTAIN,person,0.61793,0.38207,0.61793,7881
2,30043,18432,2929,2.441280,220.700,1081.004,883.167,4.866,UNCERTAIN,no_person,0.41279,0.58721,0.58721,7884
3,42161,18432,2932,2.476932,227.400,1114.283,882.618,4.866,UNCERTAIN,no_person,0.43153,0.56847,0.56847,7881
4,72772,18432,2929,2.469267,237.200,1165.243,881.756,4.863,UNCERTAIN,person,0.58103,0.41897,0.58103,7884
5,138135,18432,3274,2.512998,260.600,1267.053,882.903,4.859,PERSON_DETECTED,person,0.98486,0.01514,0.98486,7882
6,158839,18432,2928,2.529040,260.600,1267.053,884.243,4.851,UNCERTAIN,person,0.55275,0.44725,0.55275,7883
7,169855,18432,2929,2.478451,260.600,1267.053,884.604,4.851,PERSON_DETECTED,person,0.94197,0.05803,0.94197,7883
8,181857,18432,2932,2.540892,260.600,1267.053,886.092,4.851,UNCERTAIN,no_person,0.43426,0.56574,0.56574,7885
9,193562,18432,3541,2.486484,260.600,1267.053,886.209,4.851,PERSON_DETECTED,person,0.97904,0.02096,0.97904,7886
10,205946,18432,2929,0.000000,260.600,1267.053,886.235,4.851,PERSON_DETECTED,person,0.99070,0.00930,0.99070,7889
